"A1";"A2";"A6";"A7";"A8";"A9";"A10";"A12";"A13";"A15";"A16"
"a";21,92;"k";"h";0,085;"f";"f";"f";"g";5;"-"
"a";25,17;"x";"h";0,875;"t";"f";"f";"g";0;"+"
"b";49,5;"i";"bb";7,585;"t";"t";"t";"g";5000;"+"
"b";40;"aa";"bb";3,5;"t";"t";"f";"g";500;"+"
"a";22,67;"i";"v";0,085;"f";"f";"f";"g";0;"-"
"b";25,67;"aa";"v";4;"t";"f";"f";"g";0;"-"
"b";60,08;"ff";"ff";18;"t";"t";"t";"g";1000;"+"
"b";44,25;"d";"v";1,5;"t";"f";"f";"s";0;"-"
"a";21,5;"aa";"v";2,5;"t";"t";"f";"g";918;"+"
"b";22,58;"aa";"v";0,54;"f";"f";"t";"g";67;"-"
"b";21,67;"k";"v";2,5;"t";"t";"f";"g";20;"-"
"b";19,5;"aa";"v";0,79;"f";"f";"f";"g";350;"-"
"a";33,75;"k";"bb";1;"t";"t";"t";"g";0;"-"
"b";37,17;"c";"bb";5;"t";"f";"t";"s";0;"-"
"b";24,17;"q";"v";4,625;"t";"t";"t";"g";2000;"+"
"b";26,67;"i";"bb";0;"f";"f";"t";"g";0;"-"
"b";40,58;"m";"v";3,5;"f";"f";"t";"s";0;"-"
"b";33,75;"i";"bb";0;"f";"f";"f";"g";0;"-"
"b";23,33;"w";"v";0,835;"t";"f";"t";"g";300;"+"
"b";19,58;"ff";"ff";0;"f";"t";"f";"g";769;"-"
"b";25,67;"cc";"v";1,21;"t";"t";"t";"g";258;"+"
"b";29,5;"w";"v";0,29;"f";"t";"f";"g";2803;"-"
"b";32,33;"k";"v";0,5;"f";"f";"t";"g";0;"-"
"b";41,17;"d";"v";0,165;"f";"f";"f";"g";0;"-"
"b";30,08;"i";"bb";0,5;"t";"t";"t";"g";28;"-"
"b";44;"m";"v";1,75;"t";"t";"t";"g";15;"+"
"b";42;"i";"h";5,125;"t";"f";"f";"g";0;"+"
"b";31,25;"ff";"ff";0;"f";"t";"f";"g";19;"-"
"b";52,33;"c";"h";9,46;"t";"f";"t";"g";100;"-"
"a";33,08;"d";"v";0,54;"f";"f";"t";"g";0;"-"
"b";28,25;"c";"bb";1,5;"t";"t";"t";"g";7;"+"
"b";31,58;"aa";"v";3,5;"f";"f";"t";"g";0;"-"
"b";29,83;"x";"h";0,04;"f";"f";"f";"g";1;"-"
"a";25,25;"d";"v";1;"f";"f";"t";"g";1062;"-"
"b";17,92;"aa";"v";0,04;"f";"f";"f";"g";750;"-"
"b";23;"aa";"v";0,125;"t";"f";"f";"g";1;"-"
"b";37,33;"m";"h";4,25;"t";"t";"t";"g";0;"+"
"b";33,17;"x";"v";0,75;"t";"t";"t";"g";4071;"+"
"b";18,58;"ff";"ff";0,415;"f";"f";"f";"g";0;"-"
"b";22,5;"k";"v";0,125;"f";"f";"f";"g";70;"-"
"b";34,08;"c";"v";1;"f";"f";"f";"g";16;"-"
"b";27,25;"cc";"h";1,835;"t";"t";"t";"g";713;"+"
"a";19,17;"cc";"h";0,75;"t";"t";"f";"g";0;"+"
"b";24,42;"q";"h";1,585;"t";"f";"t";"g";0;"+"
"b";32,67;"q";"h";5,5;"t";"t";"t";"g";1000;"+"
"a";15,92;"q";"v";0,085;"f";"f";"f";"g";0;"-"
"a";28,17;"q";"v";0,585;"t";"t";"f";"g";0;"+"
"b";34,42;"i";"bb";0,125;"f";"f";"t";"g";4500;"-"
"a";52,83;"c";"v";5,5;"t";"t";"f";"g";2200;"+"
"a";46;"j";"j";0;"t";"f";"f";"g";960;"+"
"a";44,17;"q";"v";7,375;"t";"t";"t";"g";0;"+"
"b";25,67;"c";"h";2,29;"f";"t";"t";"g";21;"-"
"b";37,33;"cc";"v";0,165;"f";"f";"t";"g";501;"-"
"b";21,42;"r";"n";0,75;"f";"f";"t";"g";2;"-"
"b";22,67;"w";"v";3,085;"t";"t";"f";"g";0;"+"
"b";18,83;"c";"v";0,165;"f";"t";"f";"g";1;"-"
"b";27,25;"cc";"h";5,085;"t";"t";"f";"g";827;"+"
"a";18,83;"c";"h";3;"t";"f";"f";"g";0;"+"
"a";26,17;"j";"j";0;"f";"f";"t";"g";1;"-"
"b";28,67;"q";"h";5,665;"t";"t";"f";"g";168;"+"
"a";30;"e";"dd";2,25;"t";"t";"t";"g";500;"+"
"a";26,58;"ff";"ff";0;"f";"f";"t";"g";60;"-"
"b";27;"c";"h";4,25;"t";"t";"t";"g";150;"+"
"b";48,25;"w";"v";1,75;"t";"t";"f";"g";14;"+"
"a";17,83;"x";"h";1;"t";"t";"f";"g";3000;"+"
"a";24,58;"aa";"h";1,75;"t";"f";"f";"g";0;"-"
"a";19,58;"c";"v";1;"f";"t";"f";"g";2;"-"
"a";40,83;"q";"h";1,75;"t";"f";"f";"g";837;"+"
"a";19,5;"q";"v";0,04;"f";"f";"t";"g";0;"-"
"b";25,42;"w";"v";0,165;"f";"t";"f";"g";444;"-"
"b";48,5;"m";"v";0,125;"t";"f";"t";"g";0;"+"
"b";22,25;"aa";"v";0,085;"f";"f";"f";"g";0;"-"
"b";26,67;"cc";"v";5,25;"t";"t";"f";"g";0;"+"
"b";35,25;"x";"h";3,75;"t";"f";"t";"g";0;"-"
"b";22,67;"c";"j";2,25;"f";"f";"t";"s";0;"+"
"b";37,42;"w";"v";0,04;"t";"f";"t";"g";5800;"+"
"b";56,42;"c";"v";28,5;"t";"t";"f";"g";15;"+"
"b";26,67;"c";"v";1;"t";"t";"t";"g";5777;"+"
"a";18,42;"q";"v";1,21;"t";"t";"f";"g";540;"+"
"b";42,17;"q";"h";12,75;"t";"f";"t";"g";0;"+"
"b";23,25;"q";"v";2,375;"t";"t";"t";"g";582;"+"
"b";39,08;"m";"v";1,29;"t";"t";"t";"g";1097;"+"
"b";34,5;"i";"bb";8,5;"t";"t";"t";"g";0;"+"
"b";23,92;"c";"v";0,165;"f";"f";"f";"g";0;"+"
"b";33,17;"r";"h";6,5;"t";"f";"t";"g";31285;"+"
"b";40,58;"c";"v";5;"t";"t";"f";"g";3065;"+"
"b";25,92;"k";"v";0,375;"f";"t";"t";"g";3;"-"
"a";36,75;"ff";"ff";0;"f";"f";"f";"g";0;"-"
"a";28,67;"c";"v";2,5;"t";"t";"t";"g";1430;"+"
"b";16,25;"aa";"v";0,25;"f";"f";"f";"g";0;"-"
"a";30,67;"c";"v";2;"t";"t";"f";"g";19;"+"
"b";18,17;"c";"n";0,96;"f";"t";"t";"g";587;"-"
"b";26,75;"d";"v";0,75;"f";"f";"t";"g";0;"-"
"b";39,17;"x";"v";0,125;"t";"t";"t";"g";0;"+"
"b";20,17;"aa";"v";1,96;"t";"t";"f";"g";158;"+"
"a";16;"aa";"v";1;"f";"t";"t";"g";1;"-"
"b";55,92;"ff";"ff";5;"t";"t";"f";"g";8851;"+"
"b";22;"w";"v";0,29;"f";"t";"f";"g";283;"-"
"b";23,58;"c";"v";0,54;"f";"f";"t";"g";1;"-"
"b";59,67;"q";"v";0,125;"t";"f";"t";"g";0;"+"
"a";33,92;"ff";"ff";0;"t";"f";"f";"g";0;"-"
"b";20,08;"q";"v";0,125;"f";"f";"f";"g";0;"-"
"a";22,67;"c";"v";0,165;"f";"f";"f";"g";0;"-"
"a";27,67;"m";"v";2;"t";"f";"f";"s";0;"-"
"b";42,5;"w";"v";3,165;"t";"f";"t";"g";1442;"+"
"b";38,17;"x";"v";2,5;"t";"t";"f";"g";196;"+"
"a";17,58;"aa";"v";1,375;"t";"f";"t";"g";0;"+"
"b";36,33;"w";"v";0,085;"t";"t";"f";"g";1187;"+"
"b";26,75;"c";"bb";2,5;"f";"f";"f";"g";1210;"-"
"b";32,33;"e";"bb";1,585;"t";"f";"t";"s";0;"-"
"b";16,17;"c";"v";0,04;"f";"f";"f";"g";0;"+"
"b";48,58;"q";"h";6;"t";"f";"t";"g";0;"+"
"b";28,92;"c";"v";0,29;"f";"f";"f";"g";140;"-"
"b";35;"i";"v";1;"f";"f";"t";"g";0;"-"
"b";32,33;"c";"v";1,25;"f";"f";"t";"g";0;"-"
"a";31,75;"j";"j";0;"f";"f";"f";"g";20;"-"
"b";27,83;"i";"h";5,75;"t";"t";"t";"g";0;"-"
"a";56,5;"j";"ff";0;"t";"t";"f";"g";247;"+"
"b";43;"cc";"h";1,75;"t";"t";"f";"g";375;"+"
"b";32,08;"cc";"v";1,5;"f";"f";"t";"g";0;"-"
"a";40,33;"q";"h";8;"t";"t";"f";"g";2300;"+"
"b";34,75;"cc";"bb";0,5;"f";"f";"f";"g";0;"-"
"a";30,42;"w";"h";0,04;"f";"t";"f";"g";33;"-"
"b";22,08;"k";"v";0,75;"f";"f";"f";"g";0;"-"
"b";41,58;"k";"v";0,21;"t";"f";"f";"g";0;"-"
"a";19,75;"c";"v";0,795;"t";"t";"t";"g";5;"-"
"b";36,17;"w";"v";0,29;"f";"f";"t";"g";2;"-"
"b";37,5;"d";"v";1,5;"f";"f";"t";"g";0;"+"
"b";32,67;"w";"h";5,25;"t";"f";"t";"g";0;"+"
"b";32,42;"d";"v";0,165;"f";"f";"t";"g";0;"-"
"b";23,75;"c";"v";2,085;"f";"f";"f";"s";0;"-"
"a";16,33;"aa";"v";0,125;"f";"f";"f";"g";1;"-"
"b";56,58;"d";"bb";15;"t";"t";"t";"g";0;"+"
"b";21,17;"c";"v";0,5;"f";"f";"t";"s";0;"-"
"b";20;"c";"v";0,5;"f";"f";"f";"g";0;"-"
"b";36,67;"i";"v";0,25;"f";"f";"t";"g";0;"-"
"b";17,5;"ff";"o";0;"f";"f";"t";"p";100000;"+"
"b";41,92;"c";"h";0,21;"t";"t";"f";"g";948;"+"
"b";25,75;"c";"v";1,46;"t";"t";"t";"g";0;"+"
"b";23,42;"c";"v";0,5;"f";"f";"t";"s";0;"-"
"a";60,92;"aa";"v";4;"t";"t";"f";"g";99;"+"
"a";38,25;"k";"v";1;"t";"f";"t";"g";0;"+"
"a";26,92;"q";"h";5;"t";"t";"f";"g";5000;"+"
"b";36,75;"c";"v";1,5;"f";"f";"t";"g";113;"+"
"b";22,92;"c";"v";0,165;"f";"f";"f";"g";1058;"-"
"b";47,67;"m";"bb";2,5;"t";"t";"t";"g";2510;"+"
"b";47,67;"c";"bb";15;"t";"t";"f";"g";15000;"+"
"b";34,42;"i";"bb";3,25;"t";"t";"f";"g";610;"+"
"b";15,17;"e";"v";1;"f";"f";"f";"g";0;"-"
"a";29,58;"k";"v";1,25;"f";"f";"t";"g";0;"-"
"b";69,17;"ff";"ff";4;"f";"t";"f";"g";6;"-"
"b";17,67;"c";"v";0,25;"f";"f";"f";"s";0;"-"
"a";27,58;"m";"v";2,79;"f";"t";"t";"g";10;"-"
"a";25;"x";"h";1,04;"t";"f";"t";"g";5860;"+"
"b";19,17;"m";"bb";0;"f";"f";"t";"s";1;"+"
"b";27,75;"k";"h";0,25;"f";"f";"t";"s";0;"-"
"b";54,58;"ff";"ff";14,415;"t";"t";"t";"g";300;"+"
"b";34,17;"i";"bb";2,5;"f";"f";"t";"g";200;"-"
"b";16,25;"m";"v";0,085;"t";"f";"f";"s";0;"-"
"a";18,17;"q";"h";0,165;"f";"f";"f";"g";0;"-"
"a";20,33;"c";"h";1;"t";"t";"f";"g";1465;"+"
"b";43,17;"i";"bb";2,25;"f";"f";"t";"g";0;"-"
"b";21,33;"aa";"v";1,415;"t";"t";"f";"g";9800;"+"
"b";35,75;"w";"v";0,125;"f";"t";"f";"g";1;"-"
"a";27,17;"ff";"ff";0;"f";"t";"f";"g";300;"-"
"a";21,08;"ff";"ff";0;"f";"f";"f";"g";0;"-"
"a";38,33;"c";"v";0,125;"f";"f";"f";"g";0;"-"
"a";17,67;"j";"ff";0;"f";"f";"f";"g";0;"-"
"b";42;"x";"h";7,96;"t";"t";"f";"g";0;"+"
"b";25,75;"c";"bb";0,25;"t";"f";"f";"g";23;"+"
"b";31,33;"c";"v";7;"t";"t";"f";"g";5000;"+"
"a";22,58;"q";"v";0,415;"t";"t";"t";"g";560;"+"
"b";65,42;"e";"z";20;"t";"t";"t";"g";0;"+"
"a";24,5;"c";"v";0,165;"f";"f";"f";"g";0;"-"
"b";23,5;"ff";"ff";4,5;"f";"f";"f";"g";25;"-"
"b";76,75;"e";"z";12,75;"t";"t";"t";"g";109;"+"
"b";20,25;"e";"dd";0;"t";"f";"f";"g";0;"+"
"a";41;"q";"h";0,125;"t";"t";"t";"g";1236;"+"
"a";16,5;"q";"v";0,25;"f";"t";"f";"g";98;"-"
"a";25;"cc";"h";3,5;"t";"t";"f";"g";458;"+"
"a";19,17;"aa";"v";0,585;"t";"f";"t";"g";0;"-"
"b";29,83;"k";"v";0,25;"f";"f";"f";"g";0;"-"
"b";20;"c";"v";2;"f";"f";"t";"g";0;"-"
"b";30,83;"w";"v";1,25;"t";"t";"f";"g";0;"+"
"b";39,5;"c";"v";1,5;"f";"f";"f";"g";316;"-"
"b";17,25;"k";"v";0,04;"f";"f";"t";"g";40;"-"
"b";40,92;"ff";"ff";0;"t";"f";"f";"g";1;"-"
"b";26,83;"k";"ff";0;"f";"f";"f";"g";0;"-"
"a";17,92;"c";"v";1,75;"f";"t";"t";"g";5;"-"
"a";37,75;"q";"v";0,125;"t";"f";"t";"g";0;"+"
"a";22,83;"q";"h";2,29;"t";"t";"t";"g";2384;"+"
"b";42,75;"i";"bb";1;"t";"f";"f";"g";200;"-"
"a";22,75;"aa";"v";0,165;"f";"f";"f";"g";1000;"-"
"b";29,92;"c";"h";4,335;"t";"f";"f";"g";200;"+"
"b";20,17;"c";"v";1,665;"t";"t";"t";"g";28;"+"
"a";21,25;"i";"bb";0,5;"t";"t";"f";"s";0;"+"
"b";20,42;"c";"v";2,25;"t";"t";"f";"g";150;"+"
"b";42,83;"m";"v";13,875;"f";"t";"t";"g";112;"-"
"a";30,5;"c";"bb";4;"t";"t";"t";"g";3065;"+"
"b";17,42;"i";"v";0,125;"f";"f";"f";"g";100;"-"
"a";33,25;"c";"v";2,5;"f";"f";"t";"g";2;"-"
"a";45;"k";"h";1;"f";"f";"t";"s";0;"-"
"b";32,25;"ff";"ff";0;"f";"t";"f";"g";1;"-"
"a";15,75;"c";"v";1;"f";"f";"f";"g";18;"-"
"b";18,08;"m";"v";0,04;"f";"f";"f";"g";0;"-"
"a";35,42;"q";"h";14;"t";"t";"f";"g";6590;"+"
"a";68,67;"e";"z";0;"t";"t";"f";"g";3376;"+"
"b";29,83;"c";"v";0,165;"f";"f";"f";"g";0;"-"
"b";40,58;"i";"bb";0;"f";"f";"f";"s";0;"-"
"a";21,67;"j";"j";0;"t";"t";"t";"g";0;"+"
"b";25,08;"x";"v";1,665;"t";"t";"t";"g";20;"+"
"a";20,42;"x";"h";0;"f";"f";"t";"g";32;"-"
"a";24,75;"q";"h";1,5;"f";"f";"f";"g";1;"-"
"b";34,08;"aa";"v";0,125;"t";"f";"t";"g";0;"-"
"b";18,42;"aa";"v";0,125;"t";"f";"f";"g";375;"-"
"a";24,75;"q";"h";1,835;"t";"t";"f";"g";500;"+"
"b";27,83;"w";"v";2;"t";"t";"t";"g";35;"+"
"b";31,08;"c";"v";2,5;"f";"t";"t";"g";41;"-"
"a";17,92;"ff";"ff";0;"f";"f";"f";"g";50;"-"
"b";64,08;"x";"h";17,5;"t";"t";"t";"g";1000;"+"
"b";22,08;"cc";"v";0,665;"t";"f";"f";"g";0;"+"
"b";57,83;"m";"v";14;"t";"t";"t";"g";1332;"+"
"a";38,75;"ff";"ff";0;"f";"f";"f";"g";0;"-"
"b";39,25;"m";"v";6,5;"t";"t";"f";"g";4607;"+"
"a";20,42;"q";"v";1,585;"t";"t";"f";"g";0;"+"
"b";74,83;"ff";"ff";0,04;"f";"t";"f";"g";351;"-"
"b";48,17;"aa";"v";3,5;"t";"f";"f";"s";0;"+"
"b";20,5;"c";"v";2;"t";"t";"t";"g";3000;"+"
"b";24,42;"e";"dd";0,165;"f";"t";"f";"g";1300;"-"
"b";29,17;"w";"v";3,5;"t";"t";"t";"g";0;"-"
"b";23,17;"x";"h";0,46;"t";"t";"f";"g";0;"+"
"a";20,75;"cc";"h";0,335;"t";"t";"t";"g";50;"+"
"a";23,58;"k";"h";3;"f";"f";"t";"g";16;"-"
"a";50,08;"aa";"v";2,29;"t";"t";"t";"g";0;"+"
"b";26,25;"w";"v";0,125;"f";"f";"f";"g";0;"-"
"a";22,42;"x";"h";0,75;"t";"t";"f";"g";321;"+"
"b";48,58;"k";"v";0,25;"t";"t";"f";"g";2732;"+"
"a";31,92;"ff";"ff";3,04;"f";"t";"t";"g";4;"-"
"a";55,75;"k";"h";6,75;"t";"t";"t";"g";50;"-"
"b";34,17;"c";"v";4,5;"t";"t";"t";"g";221;"+"
"b";44,33;"i";"h";5;"t";"f";"t";"g";0;"+"
"a";22,5;"i";"v";0,335;"f";"f";"t";"s";0;"-"
"a";36,58;"ff";"ff";0;"f";"t";"f";"g";18;"-"
"b";37,5;"e";"v";0,04;"f";"f";"f";"g";5;"-"
"b";32,75;"cc";"h";5,5;"t";"t";"t";"g";0;"+"
"a";23,58;"ff";"ff";0,125;"f";"f";"f";"g";87;"-"
"b";22,08;"k";"v";1,585;"f";"f";"t";"g";1212;"-"
"a";36;"c";"v";2;"t";"t";"f";"g";456;"+"
"b";22,67;"c";"h";2,585;"t";"f";"f";"g";0;"+"
"a";50,25;"aa";"v";0,5;"f";"f";"t";"g";117;"-"
"b";34,75;"r";"n";5,375;"t";"t";"t";"g";134;"+"
"a";46,67;"cc";"h";0,415;"t";"t";"t";"g";6;"+"
"b";17,08;"q";"v";0,335;"f";"t";"f";"g";8;"-"
"b";39,58;"ff";"ff";0;"f";"t";"f";"g";1;"-"
"b";27,67;"w";"v";5,75;"t";"f";"t";"g";500;"+"
"b";28,92;"c";"h";5,335;"t";"t";"f";"g";2283;"+"
"b";51,42;"x";"h";0,04;"t";"f";"f";"g";3000;"+"
"b";42,08;"w";"v";5;"t";"t";"t";"g";10000;"+"
"a";18,08;"cc";"ff";10;"f";"f";"t";"s";0;"+"
"a";22,5;"x";"v";2,46;"f";"f";"f";"g";0;"+"
"b";22,67;"i";"v";1,585;"f";"t";"t";"g";9;"-"
"a";16,08;"ff";"ff";0;"f";"t";"f";"g";126;"-"
"b";21;"w";"v";2,25;"t";"t";"t";"g";300;"+"
"b";51,83;"ff";"ff";1,5;"f";"f";"f";"g";4;"-"
"a";20,08;"c";"v";0;"f";"f";"f";"g";0;"-"
"b";38,92;"k";"v";0,5;"f";"f";"t";"g";2;"-"
"b";39,92;"i";"bb";0,21;"f";"f";"f";"g";0;"-"
"b";25,17;"c";"v";1;"t";"t";"f";"g";0;"+"
"a";47,75;"c";"v";7,875;"t";"t";"t";"g";1260;"+"
"b";30,17;"c";"v";0,04;"f";"f";"f";"g";179;"-"
"b";18,67;"q";"v";0,375;"t";"t";"f";"g";38;"-"
"a";28,58;"c";"v";0,25;"f";"t";"t";"g";154;"-"
"b";54,42;"k";"h";3,96;"t";"f";"f";"g";314;"+"
"b";36,67;"k";"v";0,25;"t";"t";"t";"g";0;"+"
"a";25,75;"c";"h";0,875;"t";"f";"t";"g";0;"+"
"a";57,58;"ff";"ff";6,5;"f";"t";"f";"g";10;"-"
"b";18,83;"q";"v";0,665;"f";"f";"f";"g";1;"-"
"b";29,58;"m";"v";2;"f";"t";"t";"g";68;"-"
"b";33;"w";"v";7;"f";"f";"t";"g";0;"-"
"b";21,92;"x";"v";0,04;"t";"t";"t";"g";59;"+"
"b";18;"q";"n";0,21;"f";"f";"f";"g";40;"+"
"b";20,42;"q";"v";1,5;"f";"f";"f";"g";7;"-"
"b";39,42;"m";"v";0,165;"f";"f";"f";"s";0;"-"
"b";22,17;"ff";"ff";0;"f";"f";"f";"g";0;"-"
"a";52,5;"aa";"h";3;"f";"f";"f";"g";0;"-"
"a";20,67;"q";"v";0,165;"t";"t";"f";"g";6;"+"
"b";56,75;"m";"v";1,25;"t";"t";"t";"g";0;"+"
"a";58,67;"q";"h";3,04;"t";"t";"f";"g";560;"+"
"b";28,75;"k";"v";0,5;"t";"f";"f";"s";0;"-"
"a";69,5;"ff";"ff";0;"f";"f";"f";"s";0;"-"
"b";35,17;"k";"v";4,5;"t";"t";"f";"g";1270;"+"
"a";28,08;"e";"z";0;"t";"f";"f";"g";13212;"+"
"b";34,17;"cc";"v";1,54;"t";"t";"t";"g";50000;"+"
"b";48,08;"k";"v";0,04;"f";"f";"f";"g";2690;"+"
"b";13,75;"w";"v";1,75;"t";"t";"t";"g";1000;"+"
"b";34;"aa";"v";1;"t";"f";"t";"g";0;"-"
"a";33,25;"aa";"v";2;"f";"f";"f";"g";0;"-"
"a";19,17;"i";"h";0,29;"f";"f";"f";"g";484;"-"
"a";21,75;"j";"j";0;"f";"f";"f";"g";0;"-"
"a";24,5;"ff";"ff";0,5;"t";"t";"f";"g";147;"-"
"b";39,17;"c";"v";1,5;"t";"t";"f";"g";4700;"+"
"b";29,25;"aa";"v";5,04;"t";"t";"t";"g";0;"+"
"b";37,75;"q";"h";11,5;"t";"t";"t";"g";5;"-"
"b";17,58;"w";"h";0,165;"f";"t";"f";"g";1;"-"
"b";17,08;"c";"v";0,04;"f";"f";"f";"g";722;"-"
"b";40,92;"m";"v";0,5;"f";"f";"t";"g";0;"-"
"a";34,83;"i";"h";0,5;"f";"f";"t";"g";0;"-"
"b";19,17;"w";"v";1,5;"t";"f";"f";"g";2206;"+"
"b";30,67;"cc";"h";2,25;"f";"f";"t";"s";0;"-"
"b";19,67;"k";"h";0,835;"t";"f";"t";"g";0;"-"
"b";28,75;"c";"v";1,5;"t";"f";"t";"g";225;"-"
"b";28;"k";"h";4,165;"t";"t";"t";"g";0;"+"
"b";21,25;"w";"v";1,5;"f";"f";"f";"g";8;"+"
"a";32,33;"cc";"v";0,04;"t";"f";"f";"g";11177;"+"
"b";23,08;"c";"v";1,085;"t";"t";"t";"g";2184;"+"
"b";35;"c";"h";8,29;"f";"f";"t";"g";0;"-"
"b";32,75;"d";"h";5,75;"f";"f";"t";"g";0;"-"
"b";21;"d";"v";1,085;"t";"t";"t";"g";1;"+"
"b";41,17;"w";"v";0,25;"f";"f";"f";"g";195;"-"
"b";23,25;"c";"v";0,835;"t";"f";"f";"s";0;"+"
"a";20,75;"q";"v";0,71;"t";"t";"t";"g";0;"+"
"b";17,08;"i";"v";0,335;"f";"f";"t";"g";2;"-"
"a";24,08;"q";"h";1,25;"t";"t";"f";"g";678;"+"
"b";23,25;"c";"bb";0,25;"t";"f";"t";"g";0;"+"
"b";20;"k";"v";0,125;"f";"f";"f";"g";4;"-"
"b";29,67;"w";"h";0,75;"t";"t";"f";"g";100;"+"
"b";54,83;"e";"z";0;"t";"t";"f";"g";130;"-"
"a";18,25;"w";"v";1;"f";"t";"f";"g";1;"-"
"b";26,17;"i";"bb";0;"t";"f";"t";"g";0;"+"
"a";15,83;"q";"v";0,125;"f";"t";"t";"g";160;"-"
"a";57,08;"c";"v";5,5;"t";"t";"f";"g";3000;"+"
"b";35,17;"x";"h";1,625;"t";"t";"t";"g";500;"+"
"b";19,42;"m";"v";0,04;"f";"t";"f";"g";1;"-"
"b";19,17;"i";"v";1;"f";"f";"t";"g";1000;"-"
"b";48,33;"m";"v";16;"t";"f";"f";"s";0;"+"
"a";52,17;"ff";"ff";0;"f";"f";"f";"g";0;"-"
"a";33,08;"q";"h";1,625;"t";"t";"f";"g";0;"+"
"b";34,92;"x";"h";7,5;"t";"t";"t";"g";1000;"+"
"b";21,08;"i";"h";0,04;"f";"f";"f";"g";100;"-"
"b";31,83;"aa";"v";7,5;"t";"f";"t";"g";0;"-"
